6
3
10
"X12" "X22" "LOG(DENS)"        "LOG(S)"              "LOG(DS)"
0.50 0.02 8.3979400086720357 6.1649473726218416 -2.9900394685294023 
0.50 0.02 8.6989700043360187 6.5134839567042571 -3.5715412264844200 
0.50 0.02 8.9999999999999982 6.7521253072978986 -3.9958076437402852 
0.50 0.02 9.3010299956639813 6.9695556842208433 -4.3860525232196501 
0.50 0.02 9.6020599913279607 7.1970047280230460 -4.7469286635427439 
0.50 0.02 9.7781512503836421 7.3364597338485300 -4.9598725582185432 
0.50 0.06 7.0000000000000000 3.6748611407378116  0.6253124509616738 
0.50 0.06 7.6989700043360196 4.7774268223893106 -0.2848326421515421 
0.50 0.06 7.8450980400142560 5.1861083798132048 -1.9386983437939553 
0.50 0.06 8.0000000000000000 5.5440680443502757 -2.3133905398665093 
0.50 0.06 8.3979400086720357 6.2975416678181597 -3.1320966686111311 
0.50 0.06 8.6989700043360187 6.6137361412618709 -3.6746896282889385 
0.50 0.06 8.9999999999999982 6.8432950827365069 -4.0901766303490872 
0.50 0.06 9.3010299956639813 7.0530784434834199 -4.4741262875808472 
0.50 0.06 9.6020599913279607 7.2730012720637376 -4.8378539601746233 
0.50 0.06 9.7781512503836421 7.4079005401426343 -5.0454343027291415 
0.70 0.00 7.0000000000000000 4.1300275760383851  0.4165076014851285 
0.70 0.00 7.6989700043360179 5.1758016328482794 -1.9472675925967815 
0.70 0.00 7.8450980400142560 5.4831592097169795 -2.1571661833878446 
0.70 0.00 8.0000000000000000 5.7939300067726842 -2.5129040657967110 
0.70 0.00 8.3979400086720357 6.4289442900355738 -3.3103981575589638 
0.70 0.00 8.6989700043360187 6.6939906104607765 -3.7418657750072288 
0.70 0.00 8.9999999999999982 6.9107310980433807 -4.1406575181754590 
0.70 0.00 9.3010299956639813 7.1199154102579909 -4.5231973447344824 
0.70 0.00 9.6020599913279607 7.3441957158714350 -4.8925186810887560 
0.70 0.00 9.7781512503836421 7.4830164201441320 -5.1009349734097871 
0.70 0.02 7.0000000000000000 4.1300275760383851  0.4165076014851285 
0.70 0.02 7.6989700043360179 5.2992893340876801 -1.9509371102058750 
0.70 0.02 7.8450980400142560 5.5959369062691735 -2.2591795685463847 
0.70 0.02 8.0000000000000000 5.9024380561986654 -2.6096478741667766 
0.70 0.02 8.3979400086720357 6.4855794769846788 -3.3683127696246244 
0.70 0.02 8.6989700043360187 6.7439798652418421 -3.7958257339264794 
0.70 0.02 8.9999999999999982 6.9568884546500769 -4.1854594209506644 
